LOCATION,Country,SUBJECT,Subject,MEASURE,Measure,FREQUENCY,Frequency,TIME,Unit.Code,Unit,PowerCode.Code,PowerCode,Reference.Period.Code,Reference.Period,Value
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,1976,IDX,Index,0,Units,2015_100,2015=100,33.35443
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,1977,IDX,Index,0,Units,2015_100,2015=100,35.49272
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,1978,IDX,Index,0,Units,2015_100,2015=100,37.37075
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,1979,IDX,Index,0,Units,2015_100,2015=100,39.12921
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,1980,IDX,Index,0,Units,2015_100,2015=100,41.04945
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,1981,IDX,Index,0,Units,2015_100,2015=100,43.79264
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,1982,IDX,Index,0,Units,2015_100,2015=100,47.69642
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,1983,IDX,Index,0,Units,2015_100,2015=100,51.30478
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,1984,IDX,Index,0,Units,2015_100,2015=100,53.86509
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,1985,IDX,Index,0,Units,2015_100,2015=100,56.17922
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,1986,IDX,Index,0,Units,2015_100,2015=100,58.43005
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,1987,IDX,Index,0,Units,2015_100,2015=100,60.53316
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,1988,IDX,Index,0,Units,2015_100,2015=100,62.91763
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,1989,IDX,Index,0,Units,2015_100,2015=100,66.10396
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,1990,IDX,Index,0,Units,2015_100,2015=100,68.74868
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,1991,IDX,Index,0,Units,2015_100,2015=100,71.13315
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,1992,IDX,Index,0,Units,2015_100,2015=100,73.07449
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,1993,IDX,Index,0,Units,2015_100,2015=100,74.636
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,1994,IDX,Index,0,Units,2015_100,2015=100,75.86692
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,1995,IDX,Index,0,Units,2015_100,2015=100,76.95716
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,1996,IDX,Index,0,Units,2015_100,2015=100,77.9419
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,1997,IDX,Index,0,Units,2015_100,2015=100,78.8774
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,1998,IDX,Index,0,Units,2015_100,2015=100,79.73553
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,1999,IDX,Index,0,Units,2015_100,2015=100,80.55849
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,2000,IDX,Index,0,Units,2015_100,2015=100,81.44475
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,2001,IDX,Index,0,Units,2015_100,2015=100,82.76008
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,2002,IDX,Index,0,Units,2015_100,2015=100,84.39896
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,2003,IDX,Index,0,Units,2015_100,2015=100,85.67912
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,2004,IDX,Index,0,Units,2015_100,2015=100,86.56538
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,2005,IDX,Index,0,Units,2015_100,2015=100,87.27579
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,2006,IDX,Index,0,Units,2015_100,2015=100,88.11282
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,2007,IDX,Index,0,Units,2015_100,2015=100,89.47739
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,2008,IDX,Index,0,Units,2015_100,2015=100,91.02483
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,2009,IDX,Index,0,Units,2015_100,2015=100,92.3894
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,2010,IDX,Index,0,Units,2015_100,2015=100,93.52184
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,2011,IDX,Index,0,Units,2015_100,2015=100,94.56285
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,2012,IDX,Index,0,Units,2015_100,2015=100,95.88521
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,2013,IDX,Index,0,Units,2015_100,2015=100,97.43265
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,2014,IDX,Index,0,Units,2015_100,2015=100,98.83942
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,2015,IDX,Index,0,Units,2015_100,2015=100,100
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,2016,IDX,Index,0,Units,2015_100,2015=100,100.6612
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,2017,IDX,Index,0,Units,2015_100,2015=100,101.3013
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,2018,IDX,Index,0,Units,2015_100,2015=100,102.4548
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,2019,IDX,Index,0,Units,2015_100,2015=100,105.2543
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,2020,IDX,Index,0,Units,2015_100,2015=100,107.0127
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,2021,IDX,Index,0,Units,2015_100,2015=100,108.8204
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,2022,IDX,Index,0,Units,2015_100,2015=100,113.8918
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,2023,IDX,Index,0,Units,2015_100,2015=100,121.0734
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOBSA,"Index, s.a",A,Annual,1992,IDX,Index,0,Units,2015_100,2015=100,66.36819
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOBSA,"Index, s.a",A,Annual,1993,IDX,Index,0,Units,2015_100,2015=100,67.606
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOBSA,"Index, s.a",A,Annual,1994,IDX,Index,0,Units,2015_100,2015=100,67.71793
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOBSA,"Index, s.a",A,Annual,1995,IDX,Index,0,Units,2015_100,2015=100,69.17303
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOBSA,"Index, s.a",A,Annual,1996,IDX,Index,0,Units,2015_100,2015=100,70.25941
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOBSA,"Index, s.a",A,Annual,1997,IDX,Index,0,Units,2015_100,2015=100,71.39848
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOBSA,"Index, s.a",A,Annual,1998,IDX,Index,0,Units,2015_100,2015=100,72.10956
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOBSA,"Index, s.a",A,Annual,1999,IDX,Index,0,Units,2015_100,2015=100,73.36055
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOBSA,"Index, s.a",A,Annual,2000,IDX,Index,0,Units,2015_100,2015=100,75.35555
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOBSA,"Index, s.a",A,Annual,2001,IDX,Index,0,Units,2015_100,2015=100,77.25836
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOBSA,"Index, s.a",A,Annual,2002,IDX,Index,0,Units,2015_100,2015=100,79.00316
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOBSA,"Index, s.a",A,Annual,2003,IDX,Index,0,Units,2015_100,2015=100,81.18251
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOBSA,"Index, s.a",A,Annual,2004,IDX,Index,0,Units,2015_100,2015=100,82.69028
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOBSA,"Index, s.a",A,Annual,2005,IDX,Index,0,Units,2015_100,2015=100,84.52068
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOBSA,"Index, s.a",A,Annual,2006,IDX,Index,0,Units,2015_100,2015=100,86.2128
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOBSA,"Index, s.a",A,Annual,2007,IDX,Index,0,Units,2015_100,2015=100,88.05636
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOBSA,"Index, s.a",A,Annual,2008,IDX,Index,0,Units,2015_100,2015=100,90.14353
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOBSA,"Index, s.a",A,Annual,2009,IDX,Index,0,Units,2015_100,2015=100,90.41348
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOBSA,"Index, s.a",A,Annual,2010,IDX,Index,0,Units,2015_100,2015=100,92.02002
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOBSA,"Index, s.a",A,Annual,2011,IDX,Index,0,Units,2015_100,2015=100,94.69976
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOBSA,"Index, s.a",A,Annual,2012,IDX,Index,0,Units,2015_100,2015=100,96.13511
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOBSA,"Index, s.a",A,Annual,2013,IDX,Index,0,Units,2015_100,2015=100,97.03713
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOBSA,"Index, s.a",A,Annual,2014,IDX,Index,0,Units,2015_100,2015=100,98.88728
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOBSA,"Index, s.a",A,Annual,2015,IDX,Index,0,Units,2015_100,2015=100,100
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOBSA,"Index, s.a",A,Annual,2016,IDX,Index,0,Units,2015_100,2015=100,101.4288
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOBSA,"Index, s.a",A,Annual,2017,IDX,Index,0,Units,2015_100,2015=100,103.0485
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOBSA,"Index, s.a",A,Annual,2018,IDX,Index,0,Units,2015_100,2015=100,105.3858
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOBSA,"Index, s.a",A,Annual,2019,IDX,Index,0,Units,2015_100,2015=100,107.4401
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOBSA,"Index, s.a",A,Annual,2020,IDX,Index,0,Units,2015_100,2015=100,108.2104
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOBSA,"Index, s.a",A,Annual,2021,IDX,Index,0,Units,2015_100,2015=100,111.8844
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOBSA,"Index, s.a",A,Annual,2022,IDX,Index,0,Units,2015_100,2015=100,119.4957
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOBSA,"Index, s.a",A,Annual,2023,IDX,Index,0,Units,2015_100,2015=100,124.1309
CAN,Canada,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,A,Annual,1976,IDX,Index,0,Units,2015_100,2015=100,22.75276
CAN,Canada,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,A,Annual,1977,IDX,Index,0,Units,2015_100,2015=100,24.75949
CAN,Canada,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,A,Annual,1978,IDX,Index,0,Units,2015_100,2015=100,29.07395
CAN,Canada,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,A,Annual,1979,IDX,Index,0,Units,2015_100,2015=100,32.99298
CAN,Canada,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,A,Annual,1980,IDX,Index,0,Units,2015_100,2015=100,36.67001
CAN,Canada,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,A,Annual,1981,IDX,Index,0,Units,2015_100,2015=100,41.0494
CAN,Canada,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,A,Annual,1982,IDX,Index,0,Units,2015_100,2015=100,43.66995
CAN,Canada,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,A,Annual,1983,IDX,Index,0,Units,2015_100,2015=100,44.94482
CAN,Canada,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,A,Annual,1984,IDX,Index,0,Units,2015_100,2015=100,47.6716
CAN,Canada,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,A,Annual,1985,IDX,Index,0,Units,2015_100,2015=100,48.84023
CAN,Canada,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,A,Annual,1986,IDX,Index,0,Units,2015_100,2015=100,51.30142
CAN,Canada,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,A,Annual,1987,IDX,Index,0,Units,2015_100,2015=100,53.63277
CAN,Canada,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,A,Annual,1988,IDX,Index,0,Units,2015_100,2015=100,54.70106
CAN,Canada,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,A,Annual,1989,IDX,Index,0,Units,2015_100,2015=100,56.40678
CAN,Canada,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,A,Annual,1990,IDX,Index,0,Units,2015_100,2015=100,58.60828
CAN,Canada,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,A,Annual,1991,IDX,Index,0,Units,2015_100,2015=100,59.95396
CAN,Canada,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,A,Annual,1992,IDX,Index,0,Units,2015_100,2015=100,59.09815
CAN,Canada,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,A,Annual,1993,IDX,Index,0,Units,2015_100,2015=100,60.17234
CAN,Canada,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,A,Annual,1994,IDX,Index,0,Units,2015_100,2015=100,60.23137
CAN,Canada,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,A,Annual,1995,IDX,Index,0,Units,2015_100,2015=100,61.83675
CAN,Canada,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,A,Annual,1996,IDX,Index,0,Units,2015_100,2015=100,62.55091
CAN,Canada,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,A,Annual,1997,IDX,Index,0,Units,2015_100,2015=100,63.51295
CAN,Canada,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,A,Annual,1998,IDX,Index,0,Units,2015_100,2015=100,64.51041
CAN,Canada,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,A,Annual,1999,IDX,Index,0,Units,2015_100,2015=100,65.18916
CAN,Canada,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,A,Annual,2000,IDX,Index,0,Units,2015_100,2015=100,65.88562
CAN,Canada,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,A,Annual,2001,IDX,Index,0,Units,2015_100,2015=100,69.07867
CAN,Canada,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,A,Annual,2002,IDX,Index,0,Units,2015_100,2015=100,70.82571
CAN,Canada,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,A,Annual,2003,IDX,Index,0,Units,2015_100,2015=100,71.84678
CAN,Canada,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,A,Annual,2004,IDX,Index,0,Units,2015_100,2015=100,73.12164
CAN,Canada,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,A,Annual,2005,IDX,Index,0,Units,2015_100,2015=100,74.79785
CAN,Canada,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,A,Annual,2006,IDX,Index,0,Units,2015_100,2015=100,76.49767
CAN,Canada,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,A,Annual,2007,IDX,Index,0,Units,2015_100,2015=100,78.5103
CAN,Canada,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,A,Annual,2008,IDX,Index,0,Units,2015_100,2015=100,81.59712
CAN,Canada,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,A,Annual,2009,IDX,Index,0,Units,2015_100,2015=100,86.06504
CAN,Canada,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,A,Annual,2010,IDX,Index,0,Units,2015_100,2015=100,86.87954
CAN,Canada,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,A,Annual,2011,IDX,Index,0,Units,2015_100,2015=100,90.56248
CAN,Canada,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,A,Annual,2012,IDX,Index,0,Units,2015_100,2015=100,92.69315
CAN,Canada,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,A,Annual,2013,IDX,Index,0,Units,2015_100,2015=100,93.70242
CAN,Canada,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,A,Annual,2014,IDX,Index,0,Units,2015_100,2015=100,96.05737
CAN,Canada,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,A,Annual,2015,IDX,Index,0,Units,2015_100,2015=100,100
CAN,Canada,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,A,Annual,2016,IDX,Index,0,Units,2015_100,2015=100,101.0152
CAN,Canada,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,A,Annual,2017,IDX,Index,0,Units,2015_100,2015=100,99.99409
CAN,Canada,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,A,Annual,2018,IDX,Index,0,Units,2015_100,2015=100,100.8027
CAN,Canada,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,A,Annual,2019,IDX,Index,0,Units,2015_100,2015=100,104.5092
CAN,Canada,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,A,Annual,2020,IDX,Index,0,Units,2015_100,2015=100,107.0176
CAN,Canada,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,A,Annual,2021,IDX,Index,0,Units,2015_100,2015=100,109.3667
CAN,Canada,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,A,Annual,2022,IDX,Index,0,Units,2015_100,2015=100,120.0437
CAN,Canada,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,A,Annual,2023,IDX,Index,0,Units,2015_100,2015=100,129.4576
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOB,Index,A,Annual,1976,IDX,Index,0,Units,2015_100,2015=100,24.59837
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOB,Index,A,Annual,1977,IDX,Index,0,Units,2015_100,2015=100,26.56044
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOB,Index,A,Annual,1978,IDX,Index,0,Units,2015_100,2015=100,28.9439
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOB,Index,A,Annual,1979,IDX,Index,0,Units,2015_100,2015=100,31.59073
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOB,Index,A,Annual,1980,IDX,Index,0,Units,2015_100,2015=100,34.79062
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOB,Index,A,Annual,1981,IDX,Index,0,Units,2015_100,2015=100,39.12958
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOB,Index,A,Annual,1982,IDX,Index,0,Units,2015_100,2015=100,43.34343
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOB,Index,A,Annual,1983,IDX,Index,0,Units,2015_100,2015=100,45.88491
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOB,Index,A,Annual,1984,IDX,Index,0,Units,2015_100,2015=100,47.86015
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOB,Index,A,Annual,1985,IDX,Index,0,Units,2015_100,2015=100,49.75639
CAN,Canada,CPALTT01,CPI: 01-12 - All items,IXOB,Index,A,Annual,1986,IDX,Index,0,Units,2015_100,2015=100,51.84356
